ISSN,类别,总引用频次,影响因子,分区,issn,英文全名,中文全名(机器翻译),年文章量,投稿难易度,初审周期,主页,校验,,,,
0920-5691,计算机科学-人工智能,16572,11.541,1,0920-5691,international journal of computer vision,国际计算机视觉杂志,102,很难,"偏慢,4-8周",https://www.springer.com/computer/image+processing/journal/11263,相同,,,,
0162-8828,计算机科学-人工智能,46505,9.455,1,0162-8828,ieee transactions on pattern analysis and machine intelligence,IEEE模式分析与机器智能汇刊,360,较难,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=34,相同,,,,
2168-2267,计算机科学-人工智能,9424,8.803,1,2168-2267,IEEE TRANSACTIONS ON CYBERNETICS,IEEE控制论汇刊,1077,较难,"超快,1-2周",https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=PER169-PRT,相同,,,,
1063-6706,计算机科学-人工智能,12946,8.415,1,1063-6706,ieee transactions on fuzzy systems,模糊系统的IEEE汇刊,286,命中率约25%,平均12月,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=91,相同,,,,
1089-778X,计算机科学-人工智能,10682,8.124,1,1089-778X,ieee transactions on evolutionary computation,进化计算汇刊,61,较难,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4235,相同,,,,
2162-237X,计算机科学-人工智能,19867,7.982,1,2162-237X,IEEE Transactions on Neural Networks and Learning Systems,IEEE神经网络与学习系统汇刊,499,较难,"较快,2-4周",http://www.medsci.cn/sci/url.do?id=dec412160&q=w,相同,,,,
0893-6080,计算机科学-人工智能,10086,7.197,2,0893-6080,neural networks,神经网络,287,较难,"一般,3-6周",https://www.elsevier.com/journals/neural-networks/0893-6080,相同,,,,
1566-2535,计算机科学-人工智能,3303,6.639,2,1566-2535,Information Fusion,信息融合,78,较难,"较慢,6-12周",https://www.journals.elsevier.com/information-fusion/,相同,,,,
1556-603X,计算机科学-人工智能,980,6.611,2,1556-603X,IEEE Computational Intelligence Magazine,IEEE计算智能杂志,23,较难,约稿?周期不定,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=10207,相同,,,,
1361-8415,计算机科学-人工智能,6383,5.356,2,1361-8415,medical image analysis,医学图像分析,444,命中率约25%,平均3月,https://www.elsevier.com/journals/medical-image-analysis/1361-8415,相同,,,,
1057-7149,计算机科学-人工智能,31355,5.071,2,1057-7149,ieee transactions on image processing,IEEE图像处理汇刊,863,很难,"超快,1-2周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=83,相同,,,,
1949-3045,计算机科学-人工智能,1333,4.585,2,1949-3045,IEEE TRANSACTIONS ON AFFECTIVE COMPUTING,IEEE情感计算汇刊,45,,>12周，或约稿,https://www.computer.org/web/tac,相同,,,,
0129-0657,计算机科学-人工智能,1622,4.58,2,0129-0657,international journal of neural systems,国际神经系统杂志,48,一般,>12周，或约稿,https://www.worldscientific.com/worldscinet/ijns,相同,,,,
0950-7051,计算机科学-人工智能,9172,4.396,2,0950-7051,knowledge-based systems,基于知识的系统,371,命中率约32.5%,平均12.月,https://www.journals.elsevier.com/knowledge-based-systems/,相同,,,,
0941-0643,计算机科学-人工智能,5191,4.213,2,0941-0643,neural computing & applications,神经计算与应用,411,命中率约75%,平均3月,https://www.ariessys.com/,相同,,,,
0031-3203,计算机科学-人工智能,22195,3.962,2,0031-3203,pattern recognition,模式识别,775,命中率约25%,平均3月,https://www.journals.elsevier.com/pattern-recognition/,相同,,,,
1568-4946,计算机科学-人工智能,14474,3.907,2,1568-4946,applied soft computing,应用软计算,622,命中率约25%,平均24月,https://www.elsevier.com/journals/applied-soft-computing/1568-4946,相同,,,,
2210-6502,计算机科学-人工智能,1517,3.818,2,2210-6502,Swarm and Evolutionary Computation,群体与进化计算,59,,"较慢,6-12周",https://www.journals.elsevier.com/swarm-and-evolutionary-computation/,相同,,,,
