issn,分类,总被引频次,影响因子,分区
0920-5691,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",16572,11.541,1
0162-8828,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",46505,9.455,1
2168-2267,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",9424,8.803,1
1063-6706,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",12946,8.415,1
1089-778X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",10682,8.124,1
2162-237X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",19867,7.982,1
0893-6080,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",10086,7.197,2
1566-2535,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3303,6.639,2
1556-603X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",980,6.611,2
1361-8415,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6383,5.356,2
1057-7149,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",31355,5.071,2
1949-3045,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1333,4.585,2
0129-0657,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1622,4.58,2
0950-7051,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",9172,4.396,2
0941-0643,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5191,4.213,2
0031-3203,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",22195,3.962,2
1568-4946,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",14474,3.907,2
2210-6502,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1517,3.818,2
0269-2821,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1896,3.814,2
0957-4174,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",33177,3.768,2
1069-2509,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",587,3.667,2
0956-5515,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3457,3.667,2
0167-9236,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",8810,3.565,2
1866-9956,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1049,3.479,2
0884-8173,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2554,3.363,2
1474-0346,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2083,3.358,2
0925-2312,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",22735,3.241,3
0004-3702,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7818,3.034,3
2157-6904,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3392,2.973,3
1943-0604,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",324,2.889,3
0933-3657,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2097,2.879,3
0952-1976,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5555,2.819,3
1041-4347,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",9373,2.775,3
0169-7439,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7563,2.701,3
1868-8071,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1134,2.692,3
0921-8890,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4659,2.638,3
1662-5218,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",353,2.606,3
1541-1672,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2638,2.596,3
2168-2291,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",891,2.563,3
1384-5810,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2876,2.481,3
0957-4158,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3857,2.423,3
1562-2479,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1213,2.396,3
1077-3142,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5528,2.391,3
1063-6560,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2629,2.388,3
